OTD_ID,Title,Library_Name,LS_IDs,Log_Sources,Onboarding_Tiers,Reachable_At_Tier1
OTD-0178,CallMethod to control method,OT Protocol Defense (NDR),LS-18,Network Traffic (SPAN/TAP/IDS),Tier 3,No
OTD-0179,Browse sweep (recon),OT Protocol Defense (NDR),LS-18,Network Traffic (SPAN/TAP/IDS),Tier 3,No
OTD-0180,PLC STOP/START,OT Protocol Defense (NDR),LS-06;LS-18,PLC;Network Traffic (SPAN/TAP/IDS),Tier 2;Tier 3,No
OTD-0181,Program upload (logic theft),OT Protocol Defense (NDR),LS-06;LS-18,PLC;Network Traffic (SPAN/TAP/IDS),Tier 2;Tier 3,No
OTD-0182,Write from non-engineering source,OT Protocol Defense (NDR),LS-06;LS-18,PLC;Network Traffic (SPAN/TAP/IDS),Tier 2;Tier 3,No
OTD-0183,SZL/system recon,OT Protocol Defense (NDR),LS-06;LS-18,PLC;Network Traffic (SPAN/TAP/IDS),Tier 2;Tier 3,No
OTD-0184,Vertical scan,OT Protocol Defense (NDR),LS-02;LS-18,Firewall (OT);Network Traffic (SPAN/TAP/IDS),Tier 1;Tier 3,Yes
OTD-0185,Scan from unexpected source,OT Protocol Defense (NDR),LS-18,Network Traffic (SPAN/TAP/IDS),Tier 3,No
OTD-0186,OT control-port probing,OT Protocol Defense (NDR),LS-18,Network Traffic (SPAN/TAP/IDS),Tier 3,No
OTD-0187,VNC to a control host,OT Protocol Defense (NDR),LS-18,Network Traffic (SPAN/TAP/IDS),Tier 3,No
OTD-0188,VNC from unexpected source,OT Protocol Defense (NDR),LS-18,Network Traffic (SPAN/TAP/IDS),Tier 3,No
OTD-0189,Post-session engineering activity,OT Protocol Defense (NDR),LS-06;LS-08;LS-18,PLC;Workstations (Engineering/Operator);Network Traffic (SPAN/TAP/IDS),Tier 1;Tier 2;Tier 3,Yes
OTD-0190,Cross-zone VNC,OT Protocol Defense (NDR),LS-02;LS-18,Firewall (OT);Network Traffic (SPAN/TAP/IDS),Tier 1;Tier 3,Yes
OTD-0191,Tag out of operating envelope,OT Historian Detection,LS-10,Data Historian,Tier 2,No
OTD-0192,Setpoint outside approved range,OT Historian Detection,LS-10,Data Historian,Tier 2,No
OTD-0193,Frozen value / replay,OT Historian Detection,LS-10,Data Historian,Tier 2,No
OTD-0194,Impossible state combination,OT Historian Detection,LS-10,Data Historian,Tier 2,No
OTD-0195,Historian vs live PLC value divergence,OT Historian Detection,LS-10,Data Historian,Tier 2,No
OTD-0196,SIF trip-point approach,OT Historian Detection,LS-07;LS-10,Safety Controller;Data Historian,Tier 2,No
OTD-0197,Encoded/suspicious PowerShell,Perimeter-to-Endpoint,LS-02;LS-08;LS-17,Firewall (OT);Workstations (Engineering/Operator);RTU,Tier 1;Tier 3,Yes
OTD-0198,LOLBin abuse,Perimeter-to-Endpoint,LS-02;LS-08,Firewall (OT);Workstations (Engineering/Operator),Tier 1,Yes
OTD-0199,Credential access LSASS,Perimeter-to-Endpoint,LS-02;LS-08,Firewall (OT);Workstations (Engineering/Operator),Tier 1,Yes
OTD-0200,Persistence run key/startup,Perimeter-to-Endpoint,LS-02;LS-08,Firewall (OT);Workstations (Engineering/Operator),Tier 1,Yes
OTD-0201,Persistence service install,Perimeter-to-Endpoint,LS-02;LS-08,Firewall (OT);Workstations (Engineering/Operator),Tier 1,Yes
OTD-0202,Persistence scheduled task,Perimeter-to-Endpoint,LS-02;LS-08,Firewall (OT);Workstations (Engineering/Operator),Tier 1,Yes
OTD-0203,Defense evasion log clearing,Perimeter-to-Endpoint,LS-02;LS-08,Firewall (OT);Workstations (Engineering/Operator),Tier 1,Yes
OTD-0204,Defense evasion AV/EDR tamper,Perimeter-to-Endpoint,LS-02;LS-08,Firewall (OT);Workstations (Engineering/Operator),Tier 1,Yes
OTD-0205,Suspicious parent-child,Perimeter-to-Endpoint,LS-02;LS-08,Firewall (OT);Workstations (Engineering/Operator),Tier 1,Yes
OTD-0206,Masquerading binary,Perimeter-to-Endpoint,LS-02;LS-08,Firewall (OT);Workstations (Engineering/Operator),Tier 1,Yes
OTD-0207,Internal host scanning,Perimeter-to-Endpoint,LS-02;LS-18,Firewall (OT);Network Traffic (SPAN/TAP/IDS),Tier 1;Tier 3,Yes
OTD-0208,New east-west peer relationship,Perimeter-to-Endpoint,LS-02,Firewall (OT),Tier 1,Yes
OTD-0209,Lateral SMB admin shares,Perimeter-to-Endpoint,LS-02,Firewall (OT),Tier 1,Yes
OTD-0210,Lateral RDP internal spread,Perimeter-to-Endpoint,LS-02,Firewall (OT),Tier 1,Yes
OTD-0211,Lateral WMI/WinRM exec,Perimeter-to-Endpoint,LS-02;LS-08,Firewall (OT);Workstations (Engineering/Operator),Tier 1,Yes
OTD-0212,Remote service creation PsExec-like,Perimeter-to-Endpoint,LS-02,Firewall (OT),Tier 1,Yes
OTD-0213,Pass-the-hash/anomalous NTLM,Perimeter-to-Endpoint,LS-02,Firewall (OT),Tier 1,Yes
OTD-0214,Kerberoasting,Perimeter-to-Endpoint,LS-02,Firewall (OT),Tier 1,Yes
OTD-0215,Internal DNS/AD recon,Perimeter-to-Endpoint,LS-02;LS-08,Firewall (OT);Workstations (Engineering/Operator),Tier 1,Yes
OTD-0216,Brute force single account,Perimeter-to-Endpoint,LS-02;LS-20,Firewall (OT);OT Identity / Directory,Tier 1,Yes
OTD-0217,Password spray,Perimeter-to-Endpoint,LS-02;LS-20,Firewall (OT);OT Identity / Directory,Tier 1,Yes
OTD-0218,Success after repeated failures,Perimeter-to-Endpoint,LS-02;LS-20,Firewall (OT);OT Identity / Directory,Tier 1,Yes
OTD-0219,Privilege/permission change,Perimeter-to-Endpoint,LS-02;LS-20,Firewall (OT);OT Identity / Directory,Tier 1,Yes
OTD-0220,New/re-enabled account then use,Perimeter-to-Endpoint,LS-02;LS-20,Firewall (OT);OT Identity / Directory,Tier 1,Yes
OTD-0221,Impossible travel/atypical geo,Perimeter-to-Endpoint,LS-02;LS-20,Firewall (OT);OT Identity / Directory,Tier 1,Yes
OTD-0222,Off-hours privileged logon,Perimeter-to-Endpoint,LS-02;LS-20,Firewall (OT);OT Identity / Directory,Tier 1,Yes
OTD-0223,Disabled/dormant account use,Perimeter-to-Endpoint,LS-02;LS-20,Firewall (OT);OT Identity / Directory,Tier 1,Yes
OTD-0224,MFA fatigue,Perimeter-to-Endpoint,LS-02;LS-20,Firewall (OT);OT Identity / Directory,Tier 1,Yes
OTD-0225,Ingress/egress volume baseline deviation,Perimeter-to-Endpoint,LS-02;LS-18,Firewall (OT);Network Traffic (SPAN/TAP/IDS),Tier 1;Tier 3,Yes
OTD-0226,SYN flood,Perimeter-to-Endpoint,LS-02;LS-18,Firewall (OT);Network Traffic (SPAN/TAP/IDS),Tier 1;Tier 3,Yes
OTD-0227,UDP/amplification flood,Perimeter-to-Endpoint,LS-02;LS-18,Firewall (OT);Network Traffic (SPAN/TAP/IDS),Tier 1;Tier 3,Yes
OTD-0228,Connection-rate spike to a service,Perimeter-to-Endpoint,LS-02;LS-18,Firewall (OT);Network Traffic (SPAN/TAP/IDS),Tier 1;Tier 3,Yes
OTD-0229,Source fan-in DDoS,Perimeter-to-Endpoint,LS-02;LS-18,Firewall (OT);Network Traffic (SPAN/TAP/IDS),Tier 1;Tier 3,Yes
OTD-0230,ICMP flood,Perimeter-to-Endpoint,LS-02;LS-18,Firewall (OT);Network Traffic (SPAN/TAP/IDS),Tier 1;Tier 3,Yes
OTD-0231,Perimeter deny surge,Perimeter-to-Endpoint,LS-02;LS-18,Firewall (OT);Network Traffic (SPAN/TAP/IDS),Tier 1;Tier 3,Yes
OTD-0232,Resource exhaustion on public service,Perimeter-to-Endpoint,LS-02;LS-18,Firewall (OT);Network Traffic (SPAN/TAP/IDS),Tier 1;Tier 3,Yes
OTD-0233,DNS tunnelling,Perimeter-to-Endpoint,LS-02,Firewall (OT),Tier 1,Yes
OTD-0234,DGA activity,Perimeter-to-Endpoint,LS-02,Firewall (OT),Tier 1,Yes
OTD-0235,Rare/new external domain,Perimeter-to-Endpoint,LS-02,Firewall (OT),Tier 1,Yes
OTD-0236,Beaconing C2,Perimeter-to-Endpoint,LS-02,Firewall (OT),Tier 1,Yes
OTD-0237,Connection-count outlier,Perimeter-to-Endpoint,LS-02,Firewall (OT),Tier 1,Yes
OTD-0238,Data-volume exfil outlier,Perimeter-to-Endpoint,LS-02,Firewall (OT),Tier 1,Yes
OTD-0239,Long-lived high-byte session,Perimeter-to-Endpoint,LS-02,Firewall (OT),Tier 1,Yes
OTD-0240,DoH/rare resolver,Perimeter-to-Endpoint,LS-02,Firewall (OT),Tier 1,Yes
OTD-0241,Threat-intel IOC hit,Perimeter-to-Endpoint,LS-02,Firewall (OT),Tier 1,Yes
OTD-0242,Tor usage,Perimeter-to-Endpoint,LS-02,Firewall (OT),Tier 1,Yes
OTD-0243,Crypto-mining,Perimeter-to-Endpoint,LS-02,Firewall (OT),Tier 1,Yes
OTD-0244,P2P/torrent,Perimeter-to-Endpoint,LS-02,Firewall (OT),Tier 1,Yes
OTD-0245,Geo-prohibited destination,Perimeter-to-Endpoint,LS-02,Firewall (OT),Tier 1,Yes
OTD-0246,Unauthorized cloud storage,Perimeter-to-Endpoint,LS-02,Firewall (OT),Tier 1,Yes
OTD-0247,Prohibited cleartext protocol,Perimeter-to-Endpoint,LS-02,Firewall (OT),Tier 1,Yes
OTD-0248,Unauthorized remote-access tool,Perimeter-to-Endpoint,LS-02,Firewall (OT),Tier 1,Yes
OTD-0249,Traffic to newly-registered domain,Perimeter-to-Endpoint,LS-02,Firewall (OT),Tier 1,Yes
OTD-0250,Outbound vertical scan,Perimeter-to-Endpoint,LS-02,Firewall (OT),Tier 1,Yes
OTD-0251,High outbound deny rate,Perimeter-to-Endpoint,LS-02,Firewall (OT),Tier 1,Yes
OTD-0252,Web login brute force,Perimeter-to-Endpoint,LS-02,Firewall (OT),Tier 1,Yes
OTD-0253,Directory/endpoint enumeration,Perimeter-to-Endpoint,LS-02,Firewall (OT),Tier 1,Yes
OTD-0254,Injection patterns SQLi/XSS/cmd,Perimeter-to-Endpoint,LS-02,Firewall (OT),Tier 1,Yes
OTD-0255,High 5xx error spike,Perimeter-to-Endpoint,LS-02,Firewall (OT),Tier 1,Yes
OTD-0256,Suspicious user-agent/tool,Perimeter-to-Endpoint,LS-02,Firewall (OT),Tier 1,Yes
OTD-0257,Web shell indicators,Perimeter-to-Endpoint,LS-02;LS-08,Firewall (OT);Workstations (Engineering/Operator),Tier 1,Yes
